Movie,Worldwide,India Net,India Gross,Overseas,Budget
Pathaan,10500000000,5240000000,6570000000,3920000000,2500000000
Baahubali 2 The Conclusion,17880000000,5100000000,14160000000,3710000000,2500000000
KGF Chapter 2,12080000000,4350000000,10000000000,2070000000,1000000000
Dangal,20700000000,3740000000,5350000000,15350000000,700000000
Sanju,5880000000,3420000000,4380000000,1500000000,1000000000
PK,7920000000,3400000000,4890000000,3030000000,850000000
Tiger Zinda Hai,5580000000,3390000000,4330000000,1240000000,2100000000
Bajrangi Bhaijaan,9220000000,3200000000,4320000000,4890000000,900000000
War,4710000000,3030000000,3750000000,960000000,1500000000
Padmaavat,5850000000,3020000000,4000000000,1850000000,2150000000
Sultan,6270000000,3000000000,4210000000,2060000000,800000000
Kabir Singh,3770000000,2780000000,3300000000,470000000,550000000
Tanhaji: The Unsung Warrior,3610000000,2770000000,3250000000,360000000,1500000000
RRR,12300000000,2720000000,9150000000,3140000000,5500000000
Dhoom 3,5580000000,2710000000,3720000000,1860000000,1750000000
The Kashmir Files,3410000000,2520000000,2950000000,460000000,200000000
Brahmastra Part One: Shiva,4310000000,2490000000,3180000000,1130000000,3500000000
URI The Surgical Strike,3410000000,2440000000,2930000000,480000000,700000000
Simmba,3900000000,2400000000,2950000000,950000000,900000000
Drishyam 2,3420000000,2390000000,2820000000,590000000,500000000
Kick,3780000000,2310000000,3100000000,680000000,1000000000
Krrish 3,3740000000,2310000000,3130000000,610000000,940000000
Chennai Express,4220000000,2270000000,3100000000,1120000000,1150000000
Bharat,3210000000,2120000000,2510000000,700000000,1650000000
Housefull 4,2960000000,2100000000,2470000000,490000000,1750000000
Prem Ratan Dhan Payo,4050000000,2100000000,3100000000,950000000,1800000000
Golmaal Again,3080000000,2050000000,2620000000,450000000,800000000
Good Newwz,3160000000,2050000000,2420000000,740000000,600000000
Mission Mangal,2900000000,2030000000,2360000000,540000000,400000000
3 Idiots,4600000000,2020000000,2740000000,1860000000,550000000
Happy New Year,3970000000,1990000000,2950000000,1020000000,1500000000
Ek Tha Tiger,3200000000,1980000000,2630000000,570000000,750000000
Sooryavanshi,2930000000,1950000000,2300000000,620000000,1800000000
Two Point 0,7440000000,1900000000,5510000000,1930000000,5430000000
Yeh Jawaani Hai Deewani,3180000000,1880000000,2420000000,760000000,750000000
Bhool Bhulaiyaa 2,2650000000,1840000000,2160000000,490000000,800000000
Bajirao Mastani,3620000000,1840000000,2630000000,990000000,1450000000
Bang Bang!,3400000000,1740000000,2700000000,700000000,1600000000
Race 3,3000000000,1690000000,2170000000,830000000,1700000000
Baaghi 2,2570000000,1650000000,2110000000,450000000,750000000
Raees,2850000000,1640000000,2270000000,570000000,920000000
Kesari,2080000000,1550000000,1830000000,250000000,1000000000
Total Dhamaal,2320000000,1550000000,1830000000,480000000,1050000000
Dabangg 2,2650000000,1550000000,2260000000,390000000,840000000
Chhichhore,2110000000,1530000000,1800000000,310000000,700000000
Tanu Weds Manu Returns,2580000000,1500000000,2140000000,440000000,390000000
Bodyguard,2300000000,1480000000,1890000000,410000000,600000000
Dilwale,3880000000,1480000000,2120000000,1760000000,1650000000
Super 30,2100000000,1470000000,1710000000,390000000,600000000
Tu Jhoothi Main Makkar,2230000000,1470000000,1750000000,480000000,700000000
Dabangg 3,2180000000,1460000000,1780000000,400000000,900000000
Saaho,4510000000,1450000000,3590000000,920000000,3500000000
Thugs Of Hindostan,3270000000,1450000000,1940000000,1330000000,3000000000
Dream Girl,1950000000,1410000000,1630000000,320000000,300000000
Singham Returns,2160000000,1400000000,2000000000,160000000,1050000000
Dabangg,2150000000,1400000000,2070000000,70000000,420000000
Gully Boy,2350000000,1390000000,1640000000,710000000,600000000
Judwaa 2,2270000000,1380000000,1920000000,350000000,650000000
Badhaai Ho,2200000000,1370000000,1760000000,440000000,230000000
The Kerala Story,1640000000,1350000000,1610000000,30000000,150000000
Toilet Ek Prem Katha,3160000000,1340000000,1860000000,1300000000,180000000
Rowdy Rathore,1980000000,1330000000,1720000000,260000000,450000000
M.S. Dhoni: The Untold Story,2150000000,1330000000,1840000000,300000000,1040000000
Gangubai Kathiawadi,2110000000,1310000000,1550000000,560000000,1800000000
Stree,1820000000,1290000000,1670000000,150000000,300000000
Airlift,2280000000,1280000000,1830000000,450000000,300000000
Avatar: The Way of Water,1.74E+11,1270000000,4770000000,1.69E+11,32000000000
Rustom,2160000000,1270000000,1770000000,390000000,500000000
Raazi,1950000000,1230000000,1580000000,370000000,370000000
Ready,1850000000,1200000000,1530000000,310000000,400000000
Jab Tak Hai Jaan,2350000000,1200000000,1670000000,670000000,500000000
Tubelight,2110000000,1190000000,1650000000,450000000,1000000000
Baahubali,6500000000,1180000000,5160000000,1340000000,1800000000
Agneepath,1950000000,1180000000,1590000000,360000000,710000000
Badrinath Ki Dulhania,2010000000,1170000000,1620000000,380000000,440000000
Goliyon Ki Rasleela Ram-Leela,2180000000,1170000000,1580000000,590000000,880000000
Jai Ho,1860000000,1170000000,1500000000,360000000,650000000
Jolly LLB 2,1970000000,1170000000,1620000000,340000000,300000000
Avengers End Game,1.90E+11,1160000000,4450000000,1.33E+11,25000000000
Bala,1620000000,1160000000,1350000000,270000000,350000000
Ra.One,2060000000,1160000000,1560000000,490000000,1300000000
Ghajini,1940000000,1140000000,1570000000,360000000,520000000
Ae Dil Hai Mushkil,2400000000,1130000000,1580000000,820000000,700000000
Holiday,1780000000,1120000000,1530000000,240000000,500000000
Barfi!,1750000000,1120000000,1450000000,300000000,400000000
Housefull 2,1880000000,1120000000,1510000000,360000000,720000000
Housefull 3,1850000000,1100000000,1540000000,310000000,850000000
Gold,1580000000,1090000000,1410000000,170000000,750000000
Kisi Ka Bhai Kisi Ki Jaan,1820000000,1090000000,1300000000,520000000,1000000000
Sonu Ke Titu Ki Sweety,1560000000,1080000000,1390000000,170000000,400000000
Bhaag Milkha Bhaag,1680000000,1080000000,1460000000,210000000,300000000
Don 2: The Chase Continues,2100000000,1080000000,1440000000,650000000,760000000
Golmaal 3,1620000000,1060000000,1430000000,180000000,400000000
Pushpa: The Rise (Part 1),3500000000,1060000000,3130000000,360000000,1500000000
ABCD 2,1660000000,1060000000,1460000000,190000000,650000000
Ek Villain,1550000000,1050000000,1420000000,120000000,390000000
Son Of Sardaar,1500000000,1050000000,1410000000,80000000,400000000
Kaabil,1780000000,1040000000,1450000000,320000000,350000000
De De Pyaar De,1390000000,1040000000,1130000000,260000000,750000000
83,1930000000,1040000000,1290000000,640000000,2200000000
Bol Bachchan,1750000000,1030000000,1440000000,300000000,650000000
Raid,1540000000,1030000000,1320000000,220000000,350000000
2 States,1730000000,1020000000,1420000000,300000000,500000000
Grand Masti,1450000000,1020000000,1300000000,140000000,350000000
Race 2,1620000000,1010000000,1310000000,300000000,850000000
Singham,1510000000,1000000000,1300000000,200000000,520000000
Shivaay,1470000000,1000000000,1380000000,80000000,1000000000
Batla House,1270000000,990000000,1160000000,110000000,500000000
Zero,1780000000,960000000,1200000000,570000000,2000000000
Welcome Back,1680000000,960000000,1300000000,380000000,900000000
Baaghi 3,1370000000,960000000,1140000000,230000000,1000000000
Baby,1420000000,950000000,1290000000,130000000,590000000
Manikarnika: The Queen of Jhansi,1420000000,940000000,1160000000,250000000,1010000000
Luka Chuppi,1280000000,940000000,1110000000,170000000,200000000
Raajneeti,1450000000,930000000,1260000000,190000000,600000000
Talaash,1750000000,930000000,1210000000,530000000,600000000
Satyameva Jayate,1210000000,900000000,1160000000,50000000,450000000
Bholaa,1230000000,900000000,1080000000,150000000,1000000000
Singh Is Bliing,1460000000,900000000,1200000000,260000000,760000000
Zindagi Na Milegi Dobara,1530000000,890000000,1210000000,310000000,550000000
Badla,1400000000,880000000,1040000000,360000000,200000000
Gabbar is Back,1350000000,870000000,1180000000,170000000,720000000
Rab Ne Bana Di Jodi,1510000000,850000000,1140000000,360000000,350000000
Kantara,4070000000,840000000,3630000000,440000000,160000000
Kalank,1460000000,840000000,990000000,470000000,1500000000
Pati Patni Aur Woh,1090000000,840000000,990000000,100000000,400000000
JugJugg Jeeyo,1370000000,840000000,990000000,380000000,1000000000
Fan,1820000000,840000000,1130000000,690000000,850000000
My Name Is Khan,2240000000,820000000,1110000000,1120000000,850000000
Brothers,1400000000,820000000,1140000000,250000000,1050000000
Padman,2050000000,810000000,1050000000,1000000000,200000000
Oh My God,1490000000,810000000,1090000000,400000000,200000000
Veere Di Wedding,1400000000,810000000,1050000000,350000000,300000000
Sairat,1100000000,800000000,1040000000,60000000,40000000
Dhoom 2,1470000000,800000000,1090000000,380000000,350000000
Fukrey Returns,1120000000,800000000,1080000000,40000000,220000000
The Dirty Picture,1160000000,790000000,1070000000,80000000,280000000
Piku,1410000000,790000000,1070000000,340000000,400000000
Sui Dhaaga - Made In India,1240000000,790000000,1000000000,240000000,400000000
Vikram Vedha,1350000000,780000000,930000000,420000000,1500000000
Gunday,1300000000,780000000,1060000000,240000000,510000000
Om Shanti Om,1480000000,780000000,1050000000,420000000,380000000
Baadshaho,1230000000,780000000,1080000000,150000000,850000000
Aashiqui 2,1090000000,780000000,1050000000,30000000,150000000
Dil Dhadakne Do,1500000000,760000000,1060000000,430000000,830000000
Humpty Sharma Ki Dulhania,1190000000,760000000,1060000000,120000000,330000000
Gadar: Ek Prem Katha,1320000000,760000000,1270000000,50000000,180000000
Baaghi,1250000000,760000000,1020000000,230000000,370000000
Housefull,1190000000,750000000,1020000000,160000000,450000000
Neerja,1200000000,750000000,1010000000,180000000,250000000
Lage Raho Munna Bhai,1240000000,740000000,1000000000,240000000,220000000
Ram Setu,960000000,740000000,890000000,70000000,1500000000
Andhadhun,4380000000,740000000,950000000,3430000000,170000000
Dhadak,1130000000,740000000,950000000,180000000,300000000
Street Dancer 3D,1020000000,730000000,870000000,150000000,1000000000
Kapoor & Sons,1430000000,730000000,980000000,440000000,350000000
Hum Aapke Hain Koun..!,1280000000,720000000,1170000000,110000000,60000000
Entertainment,1040000000,720000000,970000000,60000000,800000000
Krrish,1210000000,710000000,1000000000,200000000,350000000
Cocktail,1210000000,710000000,960000000,250000000,450000000
Student Of The Year 2,950000000,700000000,840000000,110000000,750000000
Khiladi 786,970000000,700000000,940000000,20000000,350000000
Welcome,1190000000,700000000,940000000,240000000,480000000
Dishoom,1190000000,700000000,940000000,250000000,550000000
Student Of The Year,960000000,700000000,920000000,40000000,590000000
Raaz 3,990000000,690000000,940000000,40000000,280000000
Hindi Medium,3340000000,690000000,960000000,2370000000,230000000
Bhediya,960000000,680000000,810000000,150000000,600000000
Kedarnath,960000000,680000000,850000000,110000000,500000000
Dear Zindagi,1360000000,680000000,920000000,430000000,300000000
Singh Is Kinng,1220000000,670000000,940000000,280000000,500000000
Chak De India,1090000000,670000000,910000000,170000000,200000000
Tamasha,1360000000,670000000,870000000,490000000,870000000
Drishyam,1100000000,670000000,900000000,190000000,480000000
Special 26,1030000000,660000000,900000000,120000000,450000000
Love Aaj Kal,1170000000,660000000,860000000,310000000,500000000
Article 15,940000000,660000000,790000000,150000000,250000000
R... Rajkumar,1000000000,650000000,880000000,110000000,560000000
Samrat Prithviraj,850000000,650000000,770000000,80000000,2200000000
Parmanu The Story Of Pokhran,910000000,650000000,840000000,70000000,450000000
Pink,1040000000,650000000,880000000,150000000,230000000
Jab Harry Met Sejal,1110000000,640000000,890000000,210000000,10000000
Pyaar Ka Punchnama 2,880000000,640000000,860000000,10000000,220000000
Ajab Prem Ki Ghazab Kahani,1010000000,640000000,830000000,180000000,250000000
Satyagraha,910000000,630000000,860000000,40000000,600000000
Humshakals,1030000000,630000000,850000000,170000000,640000000
Secret Superstar,9120000000,630000000,810000000,8310000000,150000000
Taare Zameen Par,980000000,620000000,830000000,150000000,120000000
Shubh Mangal Zyada Saavdhan,830000000,620000000,730000000,100000000,350000000
Rockstar,1080000000,610000000,830000000,250000000,600000000
Laal Singh Chaddha,1330000000,610000000,720000000,610000000,1800000000
Once Upon Ay Time In Mumbai Dobaara!,910000000,610000000,820000000,90000000,750000000
Tees Maar Khan,1000000000,600000000,820000000,170000000,350000000
Queen,930000000,600000000,820000000,100000000,200000000
Wanted,870000000,600000000,810000000,50000000,500000000
Race,1030000000,600000000,840000000,180000000,450000000
Udta Punjab,970000000,600000000,830000000,130000000,470000000
Half Girlfriend,970000000,600000000,810000000,160000000,580000000
Befikre,990000000,600000000,830000000,150000000,640000000
Raanjhanaa,930000000,600000000,810000000,120000000,300000000
Partner,990000000,600000000,830000000,160000000,280000000
Besharam,950000000,590000000,800000000,140000000,830000000
Malang,800000000,590000000,700000000,100000000,500000000
Shootout at Wadala,830000000,580000000,790000000,40000000,450000000
Mere Brother Ki Dulhan,940000000,580000000,780000000,150000000,280000000
Mohenjo Daro,1070000000,580000000,780000000,290000000,1200000000
Action Jackson,880000000,570000000,780000000,100000000,800000000
Mary Kom,910000000,560000000,760000000,150000000,300000000
Haider,790000000,550000000,750000000,30000000,450000000
Jodhaa Akbar,1060000000,550000000,750000000,310000000,450000000
Mubarakan,930000000,550000000,760000000,160000000,630000000
Once Upon a Time in Mumbaai,850000000,550000000,740000000,100000000,360000000
Jaane Tu... Ya Jaane Na,820000000,550000000,740000000,70000000,150000000
Yamla Pagla Deewana,880000000,550000000,740000000,140000000,280000000
Kabhi Khushi Kabhie Gham,1190000000,540000000,770000000,420000000,400000000
Boss,840000000,540000000,730000000,110000000,700000000
Phantom,840000000,540000000,730000000,110000000,700000000
Jagga Jasoos,830000000,540000000,750000000,80000000,1250000000
Dilwale Dulhania Le Jayenge,1020000000,530000000,890000000,130000000,40000000
Rang De Basanti,960000000,520000000,740000000,220000000,280000000
Heropanti,750000000,520000000,710000000,40000000,250000000
Ki & Ka,990000000,520000000,700000000,280000000,300000000
102 Not Out,1150000000,520000000,670000000,480000000,340000000
Fanaa,1020000000,510000000,700000000,320000000,300000000
Hate Story 3,750000000,510000000,690000000,50000000,200000000
Delhi Belly,870000000,510000000,690000000,170000000,230000000
Kahaani,790000000,510000000,690000000,90000000,150000000
Golmaal Returns,820000000,510000000,690000000,120000000,350000000
Main Tera Hero,770000000,500000000,680000000,80000000,400000000
Sachin A Billion Dreams,700000000,500000000,650000000,50000000,390000000
Sachin: A Billion Dreams,700000000,500000000,650000000,50000000,390000000
Bachchhan Paandey,700000000,500000000,590000000,100000000,1650000000
Don: The Chase Begins Again,1040000000,500000000,670000000,360000000,350000000
Badlapur,780000000,500000000,670000000,110000000,200000000
Kis Kisko Pyaar Karoon,720000000,490000000,670000000,40000000,180000000
Spider-Man: No Way Home,1.02E+11,490000000,2610000000,56400000000,15000000000
Kai Po Che!,740000000,490000000,660000000,70000000,300000000
Bhool Bhulaiyaa,820000000,490000000,680000000,140000000,320000000
Kites,870000000,490000000,660000000,210000000,650000000
Raksha Bandhan,680000000,480000000,570000000,110000000,700000000
De Dana Dan,810000000,480000000,640000000,170000000,600000000
Marjaavaan,620000000,480000000,550000000,60000000,500000000
Murder 2,670000000,470000000,640000000,30000000,130000000
Himmatwala,650000000,470000000,640000000,10000000,680000000
Mardaani 2,670000000,470000000,570000000,100000000,300000000
Heyy Babyy,830000000,470000000,630000000,200000000,300000000
Kambakkht Ishq,850000000,470000000,630000000,220000000,500000000
Koi... Mil Gaya,800000000,460000000,700000000,90000000,280000000
Kuch Kuch Hota Hai,910000000,460000000,630000000,270000000,140000000
Ragini MMS 2,620000000,460000000,610000000,0,180000000
Thank You,720000000,460000000,620000000,90000000,600000000
Shuddh Desi Romance,750000000,460000000,620000000,120000000,250000000
Hichki,2360000000,450000000,590000000,1770000000,200000000
October,670000000,450000000,590000000,80000000,400000000
Veer,650000000,450000000,610000000,40000000,550000000
Ishaqzaade,610000000,450000000,610000000,0,160000000
Guru,820000000,450000000,610000000,210000000,220000000
New York,750000000,450000000,580000000,160000000,220000000
Kyaa Super Kool Hai Hum,640000000,440000000,600000000,30000000,190000000
Kabhi Alvida Naa Kehna,1110000000,440000000,600000000,500000000,450000000
No Entry,730000000,440000000,620000000,100000000,220000000
Roy,560000000,440000000,520000000,30000000,500000000
K.G.F : Chapter 1,2370000000,440000000,2270000000,100000000,800000000
ABCD: Any Body Can Dance,610000000,440000000,570000000,30000000,200000000
Dostana,810000000,440000000,590000000,220000000,400000000
Double Dhamaal,710000000,440000000,590000000,110000000,300000000
Kaho Naa... Pyaar Hai,780000000,440000000,730000000,50000000,100000000
Heroine,700000000,430000000,580000000,120000000,350000000
Ek Villain Returns,600000000,430000000,510000000,90000000,720000000
Raja Hindustani,760000000,430000000,600000000,150000000,60000000
Agent Vinod,710000000,430000000,560000000,140000000,550000000
Shaandaar,730000000,430000000,590000000,130000000,690000000
I Hate Luv Storys,720000000,420000000,580000000,140000000,240000000
Romeo Akbar Walter,580000000,420000000,500000000,70000000,350000000
Shubh Mangal Saavdhan,640000000,420000000,590000000,40000000,250000000
Madras Cafe,660000000,420000000,570000000,90000000,340000000
Desi Boyz,800000000,420000000,570000000,220000000,540000000
Veer-Zaara,950000000,420000000,570000000,380000000,220000000
Jannat 2,620000000,420000000,570000000,50000000,230000000
Mohabbatein,760000000,410000000,560000000,200000000,190000000
Devdas,900000000,410000000,560000000,340000000,300000000
All The Best: Fun Begins,580000000,410000000,530000000,40000000,400000000
Kaminey,700000000,410000000,550000000,140000000,330000000
Chashme Baddoor,590000000,410000000,550000000,30000000,220000000
Pagalpanti,510000000,410000000,470000000,40000000,600000000
Atithi Tum Kab Jaoge?,570000000,410000000,550000000,10000000,200000000
Wazir,780000000,410000000,550000000,230000000,350000000
Batti Gul Meter Chalu,580000000,400000000,520000000,60000000,550000000
Phir Hera Pheri,690000000,400000000,550000000,140000000,180000000
Matru Ki Bijlee Ka Mandola,620000000,400000000,540000000,70000000,430000000
Anjaana Anjaani,680000000,400000000,540000000,140000000,380000000
Bhagam Bhag,670000000,400000000,540000000,130000000,320000000
Love Aaj Kal,570000000,400000000,470000000,100000000,600000000
Yaariyan,540000000,400000000,540000000,0,160000000
Shamshera,600000000,390000000,470000000,130000000,1500000000
Aarakshan,640000000,390000000,530000000,100000000,450000000
Antim: The Final Truth,580000000,390000000,460000000,110000000,350000000
Ek Main Aur Ekk Tu,730000000,390000000,530000000,200000000,320000000
Border,640000000,390000000,620000000,20000000,100000000
Bhoothnath Returns,580000000,390000000,520000000,50000000,320000000
Tevar,560000000,390000000,520000000,30000000,450000000
Hum Saath-Saath Hain: We Stand United,800000000,390000000,650000000,150000000,170000000
Kal Ho Naa Ho,820000000,380000000,520000000,290000000,280000000
Khatta Meetha,620000000,380000000,520000000,100000000,350000000
Blue,630000000,380000000,520000000,110000000,750000000
Cirkus,600000000,380000000,450000000,150000000,700000000
A Flying Jatt,560000000,380000000,520000000,40000000,450000000
Ta Ra Rum Pum,680000000,380000000,510000000,160000000,280000000
Hasee Toh Phasee,630000000,370000000,510000000,110000000,250000000
Main Hoon Na,700000000,370000000,500000000,200000000,250000000
MOM,650000000,370000000,510000000,130000000,350000000
Namastey London,710000000,370000000,510000000,190000000,210000000
